     year  month  day  hour  minute  second       cc  nchannel
0    2008      4   21     4      33   2.200  0.09931        33
1    2008      4   21    11      21  12.275  0.13543        33
2    2008      4   21    12      28  18.500  0.15747        33
3    2008      4   21    12      30   5.225  0.14572        33
4    2008      4   21    12      51   4.125  0.13432        33
5    2008      4   21    13      37   1.850  0.17110        33
6    2008      4   21    13      40   6.900  0.12645        33
7    2008      4   21    13      42  24.075  0.10381        33
8    2008      4   21    13      42  41.600  0.12271        33
9    2008      4   21    13      43   3.725  0.14280        33
10   2008      4   21    13      43  35.025  0.14535        33
11   2008      4   21    13      44  28.875  0.13250        33
12   2008      4   21    13      45  54.400  0.10142        33
13   2008      4   21    13      46  50.575  0.13049        33
14   2008      4   21    13      47  16.700  0.13067        33
15   2008      4   21    13      47  22.250  0.19824        33
16   2008      4   21    13      47  39.500  0.34268        33
17   2008      4   21    13      48   4.100  0.12239        33
18   2008      4   21    13      48   6.425  0.15359        33
19   2008      4   21    13      49  18.425  0.15884        33
20   2008      4   21    13      50  21.225  0.12254        33
21   2008      4   21    13      50  41.775  0.20153        33
22   2008      4   21    13      50  46.275  0.16915        33
23   2008      4   21    13      50  47.475  0.20872        33
24   2008      4   21    13      50  54.375  0.16115        33
25   2008      4   21    13      50  56.800  0.13325        33
26   2008      4   21    13      51  37.625  0.19805        33
27   2008      4   21    13      52  13.375  0.23475        33
28   2008      4   21    13      53   1.325  0.16212        33
29   2008      4   21    13      53   5.125  0.14470        33
30   2008      4   21    13      53   9.125  0.19159        33
31   2008      4   21    13      53  17.775  0.12362        33
32   2008      4   21    13      53  26.750  0.18481        33
33   2008      4   21    13      53  28.875  0.15226        33
34   2008      4   21    13      53  44.650  0.14225        33
35   2008      4   21    13      53  48.675  0.16107        33
36   2008      4   21    13      55   3.500  0.11342        33
37   2008      4   21    13      55  10.625  0.23163        33
38   2008      4   21    13      56   7.475  0.13679        33
39   2008      4   21    13      56  10.400  0.11916        33
40   2008      4   21    13      57  30.200  0.10453        33
41   2008      4   21    13      57  46.600  0.17932        33
42   2008      4   21    13      58   2.675  0.09815        33
43   2008      4   21    13      59   8.825  0.14127        33
44   2008      4   21    13      59  22.900  0.10290        33
45   2008      4   21    14       1  25.350  0.14151        33
46   2008      4   21    14       1  30.300  0.14755        33
47   2008      4   21    14       1  47.375  0.13551        33
48   2008      4   21    14       5  25.875  0.16545        33
49   2008      4   21    14       5  37.300  0.10692        33
50   2008      4   21    14       5  41.200  0.09929        33
51   2008      4   21    14       6  22.375  0.12386        33
52   2008      4   21    14       6  24.925  0.12907        33
53   2008      4   21    14       6  32.225  0.35452        33
54   2008      4   21    14       6  43.700  0.16085        33
55   2008      4   21    14      14  49.475  0.15091        33
56   2008      4   21    14      15  12.875  0.10764        33
57   2008      4   21    14      15  24.850  0.13888        33
58   2008      4   21    14      15  41.950  0.12194        33
59   2008      4   21    14      15  52.150  0.11608        33
60   2008      4   21    14      15  54.100  0.10333        33
61   2008      4   21    14      16   0.900  0.09970        33
62   2008      4   21    14      16   3.975  0.10976        33
63   2008      4   21    14      16   7.475  0.15184        33
64   2008      4   21    14      16  15.850  0.11602        33
65   2008      4   21    14      16  48.125  0.16502        33
66   2008      4   21    14      16  52.600  0.15659        33
67   2008      4   21    14      17  12.600  0.11748        33
68   2008      4   21    14      20   8.050  0.15080        33
69   2008      4   21    14      29  11.175  0.12772        33
70   2008      4   21    14      47  53.725  0.12522        33
71   2008      4   21    14      48  17.375  0.11018        33
72   2008      4   21    14      48  38.325  0.15844        33
73   2008      4   21    14      49  58.350  0.19512        33
74   2008      4   21    14      50  32.200  0.14836        33
75   2008      4   21    15      50  17.525  0.10145        33
76   2008      4   21    15      50  20.425  0.12663        33
77   2008      4   21    15      52  15.500  0.12725        33
78   2008      4   21    15      52  24.475  0.13114        33
79   2008      4   21    15      52  27.850  0.11674        33
80   2008      4   21    15      52  36.600  0.10836        33
81   2008      4   21    15      52  56.450  0.09995        33
82   2008      4   21    15      52  58.725  0.12151        33
83   2008      4   21    15      53   0.975  0.13941        33
84   2008      4   21    15      53  21.550  0.13495        33
85   2008      4   21    15      53  35.225  0.18508        33
86   2008      4   21    15      53  45.450  0.22452        33
87   2008      4   21    15      53  59.250  0.12045        33
88   2008      4   21    15      54  18.125  0.16691        33
89   2008      4   21    15      54  20.050  0.19331        33
90   2008      4   21    15      54  33.100  0.13049        33
91   2008      4   21    15      54  39.250  0.15661        33
92   2008      4   21    15      54  56.175  0.14105        33
93   2008      4   21    15      55   8.950  0.21810        33
94   2008      4   21    16       1  14.150  0.12087        33
95   2008      4   21    16       1  17.950  0.15272        33
96   2008      4   21    16       2  37.525  0.11673        33
97   2008      4   21    16       4  24.750  0.15982        33
98   2008      4   21    16       8  25.100  0.12973        33
99   2008      4   21    16       8  41.725  0.14215        33
100  2008      4   21    16       8  45.150  0.15082        33
101  2008      4   21    16       8  52.300  0.13069        33
102  2008      4   21    16      10  29.975  0.17411        33
103  2008      4   21    16      10  31.350  0.16842        33
104  2008      4   21    16      15   3.625  0.12074        33
105  2008      4   21    16      46  34.350  0.11209        33
106  2008      4   21    16      54  25.600  0.15584        33
107  2008      4   21    16      54  38.275  0.11072        33
108  2008      4   21    16      55  14.725  0.14719        33
109  2008      4   21    16      55  16.675  0.14470        33
110  2008      4   21    16      56  38.175  0.09824        33
111  2008      4   21    16      56  58.725  0.17128        33
112  2008      4   21    22      26  15.275  0.10236        33
113  2008      4   21    22      27  12.825  0.09857        33
114  2008      4   21    22      27  27.650  0.13357        33
115  2008      4   21    22      27  45.300  0.17303        33
116  2008      4   21    22      28   2.500  0.12717        33
117  2008      4   21    22      28   5.425  0.11644        33
118  2008      4   21    22      28   9.775  0.11040        33
119  2008      4   21    22      28  43.975  0.11414        33
120  2008      4   21    22      28  45.200  0.11231        33
121  2008      4   21    22      29   1.950  0.20223        33
122  2008      4   21    22      29   9.250  0.13693        33
123  2008      4   21    22      31   7.275  0.11517        33
124  2008      4   21    22      31   8.650  0.11063        33
125  2008      4   21    22      31  26.700  0.13190        33
126  2008      4   22     1       5  46.350  0.15697        33
127  2008      4   22     1       6   0.500  0.18650        33
128  2008      4   22     1       6  19.200  0.11794        33
129  2008      4   22     1       6  48.775  0.16567        33
130  2008      4   22     1       7  11.375  0.18598        33
131  2008      4   22     1       7  33.175  0.17405        33
132  2008      4   22     1       8   1.300  0.13372        33
133  2008      4   22     1       8   6.975  0.16148        33
134  2008      4   22     1       8  51.275  0.16132        33
135  2008      4   22     1       9  10.625  0.10032        33
136  2008      4   22     1       9  17.875  0.17509        33
137  2008      4   22     1      12   3.400  0.16579        33
138  2008      4   22     1      12  58.000  0.09907        33
139  2008      4   22     1      14  13.775  0.14091        33
140  2008      4   22     1      14  37.725  0.13021        33
141  2008      4   22     1      14  47.925  0.11899        33
142  2008      4   22     1      15   8.675  0.10679        33
143  2008      4   22     1      15  12.600  0.16269        33
144  2008      4   22     1      16   4.775  0.14479        33
145  2008      4   22     1      16  21.700  0.15528        33
146  2008      4   22     1      16  22.875  0.10042        33
147  2008      4   22     1      16  29.025  0.17605        33
148  2008      4   22     1      16  37.950  0.12971        33
149  2008      4   22     1      16  46.850  0.15282        33
150  2008      4   22     1      17  16.575  0.10113        33
151  2008      4   22     1      17  18.575  0.13129        33
152  2008      4   22     1      17  21.000  0.16789        33
153  2008      4   22     1      17  22.150  0.17941        33
154  2008      4   22     1      17  31.500  0.13546        33
155  2008      4   22     1      17  32.625  0.17053        33
156  2008      4   22     1      17  33.850  0.15893        33
157  2008      4   22     1      17  53.125  0.12866        33
158  2008      4   22     1      18  12.550  0.15947        33
159  2008      4   22     1      19  19.000  0.15187        33
160  2008      4   22     1      19  45.375  0.09952        33
161  2008      4   22     1      19  47.325  0.16503        33
162  2008      4   22     1      19  56.600  0.14479        33
163  2008      4   22     3      12  44.125  0.15380        33
164  2008      4   22     3      20  25.050  0.16371        33
165  2008      4   22     3      21  37.950  0.13922        33
166  2008      4   22     3      21  47.650  0.11649        33
167  2008      4   22     3      21  53.525  0.20204        33
168  2008      4   22     3      22  44.400  0.10680        33
169  2008      4   22     3      22  53.500  0.10659        33
170  2008      4   22     3      22  56.925  0.13812        33
171  2008      4   22     3      23  42.875  0.12029        33
172  2008      4   22     3      23  48.875  0.15876        33
173  2008      4   22     3      26  35.125  0.13473        33
174  2008      4   22     3      27   2.425  0.13384        33
175  2008      4   22     3      27   5.800  0.17872        33
176  2008      4   22     3      27  12.625  0.12887        33
177  2008      4   22     3      27  18.525  0.12604        33
178  2008      4   22     3      28   1.550  0.14692        33
179  2008      4   22     3      43  25.775  0.12532        33
180  2008      4   22     3      48  10.200  0.12300        33
181  2008      4   22     3      48  37.775  0.13922        33
182  2008      4   22     3      48  39.700  0.13271        33
183  2008      4   22     3      52  58.575  0.11464        33
184  2008      4   22     3      53  12.875  0.10356        33
185  2008      4   22     3      53  24.175  0.14017        33
186  2008      4   22     3      53  47.825  0.16316        33
187  2008      4   22     3      53  52.150  0.15063        33
188  2008      4   22     3      53  58.225  0.15618        33
189  2008      4   22     3      54  21.300  0.12520        33
190  2008      4   22     3      54  26.025  0.14035        33
191  2008      4   22     3      54  37.150  0.22321        33
192  2008      4   22     4       5  10.525  0.11585        33
193  2008      4   22     8      48   5.100  0.14202        33
194  2008      4   22    11      42  59.150  0.10953        33
195  2008      4   22    11      51  59.875  0.12514        33
196  2008      4   22    11      54  42.175  0.09888        33
197  2008      4   22    11      58  53.975  0.18220        33
198  2008      4   22    11      59  12.650  0.14580        33
199  2008      4   22    11      59  26.250  0.22344        33
200  2008      4   22    12       0  18.100  0.14596        33
201  2008      4   22    12       0  42.825  0.11082        33
202  2008      4   22    12       1  18.550  0.13576        33
203  2008      4   22    12       1  25.600  0.19205        33
204  2008      4   22    12       3  26.050  0.14228        33
205  2008      4   23     2      40   5.350  0.10133        33
206  2008      4   23     2      57  35.775  0.11071        33
207  2008      4   23     2      57  54.750  0.17901        33
208  2008      4   23     3       0  32.825  0.16497        33
209  2008      4   23     3       0  41.625  0.14187        33
210  2008      4   23     3       0  44.525  0.11834        33
211  2008      4   23     3       1  12.100  0.11252        33
212  2008      4   23     3       3   5.100  0.15037        33
213  2008      4   23     3       3  10.725  0.15274        33
214  2008      4   23     3       4  13.350  0.12275        33
215  2008      4   23     3      10  27.450  0.13492        33
216  2008      4   23     3      10  47.525  0.16854        33
217  2008      4   23     3      15  44.275  0.12217        33
218  2008      4   23     3      45  36.550  0.16469        33
