B039 PB EH1,EH2,EHZ -- IRIS  41.4667 -122.4847 2007-10-15 3000-01-01
KCPB NC HHE,HHN,HHZ -- NCEDC 39.6863 -123.5824 2002-10-17 3000-01-01
KHBB NC HHE,HHN,HHZ -- NCEDC 40.6599 -123.2197 2003-09-11 3000-01-01
KRMB NC HHE,HHN,HHZ -- NCEDC 41.5230 -123.9080 2001-06-16 3000-01-01
KSXB NC HHE,HHN,HHZ -- NCEDC 41.8304 -123.8769 2001-07-13 3000-01-01
ME01 XQ BHE,BHN,BHZ 01 IRIS  41.7752 -123.4034 2007-07-31 2009-06-12
ME02 XQ BHE,BHN,BHZ 01 IRIS  41.6898 -122.3372 2007-07-22 2009-05-20
ME03 XQ BHE,BHN,BHZ 01 IRIS  41.702  -123.881  2007-09-27 2009-06-13
ME04 XQ BHE,BHN,BHZ 01 IRIS  41.355  -123.514  2007-07-23 2009-06-12
ME08 XQ BHE,BHN,BHZ 01 IRIS  40.222  -123.305  2007-07-22 2009-06-03
ME09 XQ BHE,BHN,BHZ 01 IRIS  41.086  -122.726  2007-07-21 2009-05-14
ME10 XQ BHE,BHN,BHZ 01 IRIS  40.9591 -122.4619 2007-10-31 2009-06-12
ME12 XQ BHE,BHN,BHZ 01 IRIS  40.104  -122.498  2007-07-20 2009-06-12
ME13 XQ BHE,BHN,BHZ 01 IRIS  40.764  -122.918  2007-07-22 2009-06-12
ME16 XQ BHE,BHN,BHZ 01 IRIS  40.577  -122.087  2007-07-20 2008-10-14
ME24 XQ BHE,BHN,BHZ 01 IRIS  40.359  -122.047  2007-07-19 2009-05-15
ME26 XQ BHE,BHN,BHZ 01 IRIS  40.157  -122.099  2007-07-26 2009-02-17
ME27 XQ BHE,BHN,BHZ 01 IRIS  40.453  -123.155  2008-01-01 2009-06-13
ME28 XQ BHE,BHN,BHZ 01 IRIS  40.327  -122.471  2007-07-20 2009-05-14
ME29 XQ BHE,BHN,BHZ 01 IRIS  41.142  -123.1408 2007-09-21 2009-06-13
ME30 XQ BHE,BHN,BHZ 01 IRIS  40.843  -123.565  2007-07-24 2009-06-22
ME42 XQ BHE,BHN,BHZ 01 IRIS  39.7145 -123.273  2007-07-15 2009-06-16
ME43 XQ BHE,BHN,BHZ 01 IRIS  39.5703 -123.175  2007-09-16 2009-06-16
ME44 XQ BHE,BHN,BHZ 01 IRIS  39.4928 -123.187  2007-09-16 2009-06-15
ME45 XQ BHE,BHN,BHZ 01 IRIS  39.4666 -122.9595 2007-09-12 2009-06-09
ME46 XQ BHE,BHN,BHZ 01 IRIS  39.196  -122.968  2007-09-25 2009-06-11
ME47 XQ BHE,BHN,BHZ 01 IRIS  39.1124 -122.8106 2007-09-25 2008-09-17
ME49 XQ BHE,BHN,BHZ 01 IRIS  39.8633 -123.7194 2007-09-25 2009-06-08
ME52 XQ BHE,BHN,BHZ 01 IRIS  39.3228 -123.2191 2008-02-21 2009-07-08
ME54 XQ BHE,BHN,BHZ 01 IRIS  39.0132 -123.3779 2007-09-24 2009-03-03
ME57 XQ BHE,BHN,BHZ 01 IRIS  39.9118 -122.5676 2007-10-24 2009-06-11
WDC  BK BHE,BHN,BHZ -- NCEDC 40.5799 -122.5411 1992-09-17 2011-05-06
YBH  BK BHE,BHN,BHZ -- NCEDC 41.7320 -122.7104 1993-07-24 2011-06-03
