"families"	"mu"	"K"	"alpha"	"c"	"p"	"beta"
"2009.11.12.6.12.19"	0.144227114014535	1.40279677207295	9.32192213157536e-05	0.0403240000000238	3.37527254151022	2.31680998847805
"2009.11.12.6.12.40"	0.0227649803898832	1.07990673634178	0.0323255660925568	0.0403520000000279	3.22927749089997	2.024830385295
"2009.9.11.0.11.15"	0.0175947048419987	0.839275109684816	0.62820711155204	0.0399120000000157	3.32386776289037	1.8369691130085
"2009.9.12.20.50.43"	0.0143041977661243	1.17406156515149	0.0247250691872328	0.0373150000000783	3.57506167217324	1.69585417314529
"2009.9.12.21.0.19"	0.0132314152030655	1.23023557589952	0.618159324071635	0.0388169999999957	3.13554930329578	3.06801995860232
"2009.9.12.21.1.54"	0.102858572657525	1.17503115895837	0.427270292290536	0.0399859999999996	3.23348069650789	2.23322235749851
"2009.9.12.21.4.29"	0.0228992075537992	1.36913178537894	0.330704056179871	0.0392910000000006	3.35832976529006	1.98837474027665
"2009.9.12.21.7.33"	0.0197793948609198	1.08073927445987	0.340553722742331	0.0393640000000062	3.60086286918976	2.07244349915625
"2009.9.12.21.8.27"	0.0797052330496174	0.50806782246506	0.581215591198804	0.0408330000000381	4.13855919096735	1.98108670783851
"2010.3.17.17.24.4"	0.0264669252874594	0.868982403291915	0.616389270355631	0.0348540000000067	3.23146924959773	2.3571963740668
"2010.3.17.7.17.47"	0.120210594034667	0.654431416096156	0.540500330098412	0.0396709999999999	3.37801696185909	1.8049252189603
"2010.3.19.1.19.56"	0.0402872393326311	1.366153638641	0.0451884468266232	0.0396950000000449	3.36072284943515	1.66856092496585
"2010.3.19.2.19.57"	0.0250069696451052	0.858745739955814	0.467115490066164	0.0403780000000413	3.26556879871748	1.85883174987841
"2010.5.16.15.30.36"	0.0713025654799057	0.555641217553491	0.838869255318074	0.0394709999999938	3.22955045530848	2.78500478707472
"2010.5.16.15.33.40"	0.0452035940615585	0.580616246954359	1.06554822043924	0.0399359999999975	2.9959358966577	2.36022630549143
"2010.7.24.23.35.24"	0.0492248927404547	0.650345552975876	0.124885790292771	0.0412180000000173	4.89039985855332	2.01444609427478
"2010.8.10.12.11.46"	0.0173512768129708	0.724187091164655	0.0627635298278865	0.0410340000000523	4.5634689459379	2.17887655578335
"2010.8.10.5.10.52"	0.166141297090153	0.616985402855665	0.346629328195436	0.0399119999999598	3.74060562646382	2.05298556835711
"2010.8.10.6.5.16"	0.0249724485691983	0.454979915268263	1.24608176586347	0.0409799999999922	3.12199054047403	1.57376088220757
"2010.8.10.9.13.42"	0.148054193539106	0.541280803371711	0.0207055848700097	0.0402540000000049	5.08002885593987	1.74797903441357
"2010.8.13.21.32.27"	0.0366806310271604	1.33089443198839	0.0177240087416919	0.0404840000000138	3.43962047861576	2.00629132102888
"2010.8.13.22.48.23"	0.00964435355221954	1.0489768136957	0.0264429219558365	0.0311859999999946	3.50257993061484	2.29130911987452
"2010.8.14.22.55.49"	0.0277047194248309	0.514762042785627	0.287929318032897	0.0377879999999867	4.13264192828395	1.60955706070311
"2010.8.15.12.40.2"	0.084703153193603	1.01571841603994	0.000566926219050429	0.0404690000000304	4.3886863158386	1.81962494924328
"2010.8.15.13.42.57"	0.0303513045875073	0.619275470236918	0.37984069414066	0.0377670000000335	3.98416183583327	1.67553947012373
"2010.8.15.18.0.20"	0.0208643963472769	0.658699181437707	0.541715268064209	0.0413650000010152	4.52412629474618	1.31992470948708
"2010.8.15.21.15.46"	0.0178869188883016	1.26975708296942	0.137161250972463	0.0358259999999333	3.33710874675777	1.50095603987442
"2010.8.15.21.47.5"	0.135893110675997	0.537128185221711	0.435130684582629	0.0403650000000202	4.75807282397951	1.46800645030501
"2010.8.15.21.53.27"	0.0105847228717476	0.833665760021055	0.0392701995749095	0.0407030000002065	4.64203204562026	1.55847313007382
"2010.8.15.9.57.48"	0.052594392870001	0.767753615320893	0.59841651733118	0.0398480000000437	3.77610125439491	2.63860753288908
"2010.8.16.15.0.35"	0.0271910848173257	1.12738676454713	0.0173503144115736	0.0392480000000443	3.64459668923714	1.56734758852244
"2010.8.16.15.12.2"	0.0272874202917893	0.567636540848578	0.407345049932181	0.0399220007577762	4.80828432744755	1.69759521553384
"2010.8.16.15.16.28"	0.0149409382133008	1.06370060240737	0.0738808486265353	0.0388679999999807	3.80435206110663	1.74629425141396
"2010.8.16.17.16.56"	0.0193682285044722	0.798945286768509	0.70779905340647	0.0372840000000015	2.85478232414269	3.3946240978262
