       x0    y0  ntremor  t_lin_lin_EW  t_lin_pow_EW  t_lin_PWS_EW  t_lin_lin_NS  t_lin_pow_NS  t_lin_PWS_NS  t_pow_lin_EW  t_pow_pow_EW  t_pow_PWS_EW  t_pow_lin_NS  t_pow_pow_NS  t_pow_PWS_NS  t_PWS_lin_EW  t_PWS_pow_EW  t_PWS_PWS_EW  t_PWS_lin_NS  t_PWS_pow_NS  t_PWS_PWS_NS  t_lin_lin_EW_cluster  t_lin_pow_EW_cluster  t_lin_PWS_EW_cluster  t_lin_lin_NS_cluster  t_lin_pow_NS_cluster  t_lin_PWS_NS_cluster  t_pow_lin_EW_cluster  t_pow_pow_EW_cluster  t_pow_PWS_EW_cluster  t_pow_lin_NS_cluster  t_pow_pow_NS_cluster  t_pow_PWS_NS_cluster  t_PWS_lin_EW_cluster  t_PWS_pow_EW_cluster  t_PWS_PWS_EW_cluster  t_PWS_lin_NS_cluster  t_PWS_pow_NS_cluster  t_PWS_PWS_NS_cluster  cc_lin_lin_EW_cluster  cc_lin_pow_EW_cluster  cc_lin_PWS_EW_cluster  cc_lin_lin_NS_cluster  cc_lin_pow_NS_cluster  cc_lin_PWS_NS_cluster  cc_pow_lin_EW_cluster  cc_pow_pow_EW_cluster  cc_pow_PWS_EW_cluster  cc_pow_lin_NS_cluster  cc_pow_pow_NS_cluster  cc_pow_PWS_NS_cluster  cc_PWS_lin_EW_cluster  cc_PWS_pow_EW_cluster  cc_PWS_PWS_EW_cluster  cc_PWS_lin_NS_cluster  cc_PWS_pow_NS_cluster  cc_PWS_PWS_NS_cluster
0   -25.0 -25.0       70          5.85          7.55          7.55          4.05          4.05          4.05          6.00          6.00          6.15          3.90          4.05          3.90          6.00          5.80          5.40          4.25          4.05          4.05                  5.65                  5.80                  5.65                  4.70                  6.10                  4.05                  6.00                  6.00                  5.75                  4.70                  4.70                  5.55                  5.80                  6.00                  6.05                  7.35                  3.90                  4.05               0.025771               0.177127               0.006952               0.015303               0.252790               0.008346               0.127260               1.876821               0.024878               0.067719               0.936892               0.046754               0.009735               0.141765               0.001591               0.004639               0.044478               0.000697
1   -25.0 -20.0      107          5.35          5.85          5.85          5.25          5.25          5.25          5.35          5.35          5.35          5.25          5.25          5.40          5.35          5.85          5.20          5.40          5.25          5.40                  5.35                  5.35                  5.55                  5.80                  5.75                  5.80                  5.35                  5.35                  5.55                  5.80                  5.75                  5.80                  5.35                  5.35                  5.35                  5.40                  5.40                  5.80               0.025946               0.420295               0.007104               0.032385               0.715284               0.014951               0.162759               2.718719               0.041510               0.171277               3.242803               0.069939               0.012216               0.167292               0.004303               0.011102               0.222981               0.005029
2   -25.0 -15.0      102          5.15          5.15          5.30          5.75          5.90          5.90          5.15          5.15          5.10          5.60          5.90          5.90          5.15          5.15          5.15          5.60          5.90          5.90                  5.35                  5.15                  5.35                  5.75                  5.75                  5.95                  5.30                  5.30                  5.15                  5.60                  5.75                  5.75                  5.35                  5.30                  5.35                  5.60                  5.75                  5.75               0.025013               0.394048               0.004029               0.031063               0.538555               0.006819               0.123966               1.708738               0.014016               0.150649               3.306978               0.019515               0.008738               0.124890               0.001421               0.012165               0.233024               0.002815
3   -25.0 -10.0      130          4.85          4.85          4.85          5.90          5.90          6.10          5.85          4.85          4.85          5.90          5.90          5.90          5.85          4.85          4.85          5.90          5.90          5.90                  4.80                  5.70                  4.85                  5.90                  6.25                  6.25                  5.85                  4.85                  4.85                  5.90                  5.90                  6.20                  5.85                  5.70                  5.85                  5.90                  5.90                  5.90               0.010153               0.171234               0.000483               0.012940               0.246460               0.001015               0.093274               1.257245               0.004088               0.104382               1.722524               0.006864               0.006695               0.071264               0.000336               0.006292               0.054447               0.001655
4   -25.0  -5.0      134          5.65          6.35          6.35          5.40          5.40          5.50          5.25          6.35          5.55          5.40          5.40          5.50          5.25          6.35          6.35          5.40          5.40          5.40                  5.25                  5.20                  5.50                  5.40                  5.40                  5.40                  5.25                  5.50                  5.55                  5.55                  5.35                  5.40                  5.25                  5.50                  5.65                  5.25                  5.75                  5.40               0.034565               0.329032               0.002612               0.025125               0.606262               0.001555               0.052768               1.833965               0.006197               0.092030               1.417592               0.015360               0.008944               0.077342               0.000239               0.003023               0.069225               0.000344
5   -25.0   0.0      117          5.65          5.65          5.55          5.70          5.70          5.70          5.65          5.65          5.65          5.70          5.70          5.70          5.70          5.65          5.55          5.70          5.70          5.70                  5.65                  5.65                  5.65                  5.55                  5.70                  5.70                  5.70                  5.65                  5.65                  5.70                  5.70                  5.70                  5.70                  5.55                  5.55                  5.50                  5.70                  5.70               0.019169               0.325593               0.007548               0.031295               1.127820               0.012891               0.101409               2.622664               0.039521               0.105610               2.468976               0.025315               0.005623               0.061899               0.000288               0.007857               0.140352               0.001100
6   -25.0   5.0      167          6.20          6.20          6.20          5.70          5.70          5.70          6.20          6.20          6.20          5.85          5.70          5.75          6.20          6.20          6.20          5.70          5.70          5.75                  6.05                  6.25                  6.40                  5.70                  5.70                  5.70                  6.05                  6.25                  6.20                  5.70                  5.70                  5.85                  6.25                  6.25                  6.20                  5.70                  5.70                  5.75               0.023154               0.791661               0.006135               0.025438               1.097035               0.008521               0.117010               3.904604               0.011469               0.100179               4.219676               0.018760               0.008673               0.280735               0.003479               0.006818               0.267235               0.001468
7   -25.0  10.0      269          4.00          4.00          4.05          5.85          5.85          5.85          4.00          4.00          4.05          5.85          5.85          5.85          4.00          4.00          4.05          5.85          5.85          5.85                  4.00                  4.00                  4.00                  5.85                  5.85                  5.85                  4.00                  4.00                  4.00                  5.85                  5.85                  5.85                  4.00                  4.00                  4.15                  5.85                  5.85                  5.85               0.012912               0.623390               0.002445               0.025787               1.607531               0.005300               0.054282               2.064722               0.007008               0.101770               5.383915               0.018990               0.004833               0.126592               0.000304               0.006629               0.336751               0.001508
8   -25.0  15.0      188          6.60          6.60          6.60          6.65          6.65          6.65          6.60          6.60          6.60          6.65          6.65          6.70          4.15          6.60          6.60          6.65          6.65          6.65                  6.60                  3.25                  6.60                  6.65                  5.05                  6.65                  7.25                  6.60                  7.10                  5.70                  6.65                  5.75                  6.60                  6.60                  6.60                  6.65                  6.65                  6.65               0.008487               0.313085               0.002349               0.012202               0.448519               0.001566               0.048940               1.513156               0.002524               0.084993               1.655966               0.004819               0.004244               0.083655               0.000501               0.005871               0.155047               0.001453
9   -25.0  20.0      279          7.35          7.35          7.35          6.65          6.65          6.50          4.55          7.25          7.35          3.85          6.65          6.65          4.55          6.50          7.35          7.35          6.50          6.50                  6.60                  7.35                  7.35                  2.95                  3.10                  3.10                  6.45                  6.50                  7.35                  2.95                  3.10                  3.10                  5.25                  4.10                  2.85                  2.95                  3.10                  3.15               0.009145               0.186966               0.000463               0.017419               0.596071               0.001054               0.039174               0.780307               0.009495               0.038968               1.062698               0.004832               0.003375               0.042557               0.000064               0.003009               0.048065               0.000194
